DEPTH,CALI,DRHO,DT,DTS,GR,KTIM,NPHI,PPC1_CALI_NORM,RD,RHOB,RM,RS,RT,RXO,TVDMSL,CARB_FLAG,COAL_FLAG,KLOGH,PHIT,SAND_FLAG,VSH,FM. LABEL
1897.8372,12.6966,0.0236,129.5707,,221.0757,,,12.5086,1.2025,,1.0089,1.0063,1.0125,,1866.7705,,,,,0.0,1.1756,Draupne
1897.9896,12.6218,0.0221,128.2704,,221.0757,,,12.4988,1.2025,,1.0089,1.0063,1.0125,,1866.9229,,,,,0.0,1.1756,Draupne
1898.142,12.4199,0.0175,125.7024,,221.0757,,,12.5069,1.2025,,1.0089,1.0063,1.0125,,1867.0753,,,,,0.0,1.1756,Draupne
1898.2944,12.7714,0.0206,126.2806,,221.0757,,,12.5258,1.2025,,1.0089,1.0063,1.0125,,1867.2277,,,,,0.0,1.1756,Draupne
1898.4468,12.8274,0.0338,128.5317,,221.0757,,,12.6486,1.2025,,1.0089,1.0063,1.0125,,1867.3801,,,,,0.0,1.1756,Draupne
1898.5992,13.2762,0.0616,131.3076,,221.0757,,,12.8604,1.2025,,1.0089,1.0063,1.0125,,1867.5325,,,,,0.0,1.1756,Draupne
1898.7516,13.4444,0.0923,134.3411,,221.0757,,,13.2412,1.2025,,1.0089,1.0063,1.0125,,1867.6849,,,,,0.0,1.1756,Draupne
1898.904,15.1944,0.1098,134.702,,221.0757,,,14.7546,1.2025,,1.0089,1.0063,1.0125,,1867.8373,,,,,0.0,1.1756,Draupne
1899.0564,15.6992,0.1075,135.4172,,221.0757,,,17.0925,1.2025,,1.0089,1.0063,1.0125,,1867.9897,,,,,0.0,1.1756,Draupne
1899.2088,16.619,0.0724,135.6216,,221.0757,,,17.1332,1.2025,,1.0089,1.0063,1.0125,,1868.1421,,,,,0.0,1.1756,Draupne
1899.3612,17.1799,0.0349,134.5943,,221.0757,,,17.1215,1.2025,,1.0089,1.0063,1.0125,,1868.2944,,,,,0.0,1.1756,Draupne
1899.5136,17.2472,-0.0001,133.8318,,221.0757,,,16.7579,1.2025,,1.0089,1.0063,1.0125,,1868.4469,,,,,0.0,1.1756,Draupne
1899.666,17.1687,-0.0172,133.4137,,221.0757,,,17.08,1.2025,,1.0089,1.0063,1.0125,,1868.5992,,,,,0.0,1.1756,Draupne
1899.8184,17.408,-0.0211,132.7859,,221.0757,,,17.1525,1.2025,,1.0089,1.0063,1.0125,,1868.7517,,,,,0.0,1.1756,Draupne
1899.9708,17.4005,-0.0155,132.1539,,221.0757,,,17.1323,1.2025,,1.0089,1.0063,1.0125,,1868.9041,,,,,0.0,1.1756,Draupne
1900.1232,17.4379,0.0004,132.4767,,221.0757,,,17.3381,1.2025,,1.0089,1.0063,1.0125,,1869.0565,,,,,0.0,1.1756,Draupne
1900.2756,17.6922,0.0318,134.3839,,221.0757,,,17.2215,1.2025,,1.0089,1.0063,1.0125,,1869.2089,,,,,0.0,1.1756,Draupne
1900.428,17.4678,0.0589,136.761,,221.0757,,,17.139,1.2025,,1.0089,1.0063,1.0125,,1869.3613,,,,,0.0,1.1756,Draupne
1900.5804,17.1238,0.0777,138.1831,,221.0757,,,17.0405,1.2025,,1.0089,1.0063,1.0125,,1869.5137,,,,,0.0,1.1756,Draupne
1900.7328,17.3033,0.0775,137.945,,221.0757,,,17.1884,1.2025,,1.0089,1.0063,1.0125,,1869.6661,,,,,0.0,1.1756,Draupne
1900.8852,17.4379,0.0724,135.4213,,221.0757,,,17.5683,1.2025,,1.0089,1.0063,1.0125,,1869.8185,,,,,0.0,1.1756,Draupne
1901.0376,17.2659,0.066,132.4863,,221.0757,,,17.6295,1.2025,,1.0089,1.0063,1.0125,,1869.9709,,,,,0.0,1.1756,Draupne
1901.19,16.7649,0.0561,130.7303,,221.0757,,,17.3087,1.2025,,1.0089,1.0063,1.0125,,1870.1233,,,,,0.0,1.1756,Draupne
1901.3424,17.2472,0.0459,130.6061,,221.0757,,,17.1319,1.2025,,1.0089,1.0063,1.0125,,1870.2756,,,,,0.0,1.1756,Draupne
1901.4948,17.0565,0.0385,132.2001,,221.0757,,,17.0617,1.2025,,1.0089,1.0063,1.0125,,1870.4281,,,,,0.0,1.1756,Draupne
1901.6472,17.079,0.0346,133.6988,,221.0757,,,17.2462,1.2025,,1.0089,1.0063,1.0125,,1870.5804,,,,,0.0,1.1756,Draupne
1901.7996,17.6062,0.0394,133.5054,,221.0757,,,17.5464,1.2025,,1.0089,1.0063,1.0125,,1870.7329,,,,,0.0,1.1756,Draupne
1901.952,17.7408,0.0428,131.5174,,221.0757,,,17.2906,1.2025,,1.0089,1.0063,1.0125,,1870.8853,,,,,0.0,1.1756,Draupne
1902.1044,17.0902,0.0414,129.0434,,221.0757,,,17.5663,1.2025,,1.0089,1.0063,1.0125,,1871.0377,,,,,0.0,1.1756,Draupne
1902.2568,17.0902,0.0423,129.9088,,221.0757,,,17.2357,1.2025,,1.0089,1.0063,1.0125,,1871.1901,,,,,0.0,1.1756,Draupne
1902.4092,17.2884,0.0391,132.7299,,221.0757,,,17.3229,1.2025,,1.0089,1.0063,1.0125,,1871.3425,,,,,0.0,1.1756,Draupne
1902.5616,17.7184,0.0286,135.9958,,221.0757,,,17.1496,1.2025,,1.0089,1.0063,1.0125,,1871.4949,,,,,0.0,1.1756,Draupne
1902.714,17.4043,0.0286,137.8821,,221.0757,,,17.0497,1.2025,,1.0089,1.0063,1.0125,,1871.6473,,,,,0.0,1.1756,Draupne
1902.8664,17.236,0.0343,138.2099,,221.0757,,,17.0539,1.2025,,1.0089,1.0063,1.0125,,1871.7997,,,,,0.0,1.1756,Draupne
1903.0188,16.9668,0.046,137.557,,221.0757,,,18.0152,1.2025,,1.0089,1.0063,1.0125,,1871.9521,,,,,0.0,1.1756,Draupne
1903.1712,16.8546,0.037,135.53,,221.0757,,,17.1758,1.2025,,1.0089,1.0063,1.0125,,1872.1045,,,,,0.0,1.1756,Draupne
1903.3236,16.1666,0.0258,133.002,,221.0757,,,15.7559,1.2025,,1.0089,1.0063,1.0125,,1872.2568,,,,,0.0,1.1756,Draupne
1903.476,15.0224,0.0222,130.5834,,221.0757,,,13.7982,1.2025,,1.0089,1.0063,1.0125,,1872.4093,,,,,0.0,1.1756,Draupne
1903.6284,12.7115,0.0185,129.7879,,221.0757,,,12.7392,1.2025,,1.0089,1.0063,1.0125,,1872.5616,,,,,0.0,1.1756,Draupne
1903.7808,12.6816,0.0218,131.6122,,221.0757,,,13.4001,1.2025,,1.0089,1.0063,1.0125,,1872.7141,,,,,0.0,1.1756,Draupne
1903.9332,13.8707,0.0166,132.0509,,221.0757,,,12.6767,1.2025,,1.0089,1.0063,1.0125,,1872.8665,,,,,0.0,1.1756,Draupne
1904.0856,12.6966,0.0225,131.9661,,221.0757,,,12.9772,1.2025,,1.0089,1.0063,1.0125,,1873.0189,,,,,0.0,1.1756,Draupne
1904.238,13.3771,0.0267,132.3896,,221.0757,,,13.7082,1.2025,,1.0089,1.0063,1.0125,,1873.1713,,,,,0.0,1.1756,Draupne
1904.3904,12.805,0.0255,131.1048,,221.0757,,,13.0565,1.2025,,1.0089,1.0063,1.0125,,1873.3237,,,,,0.0,1.1756,Draupne
1904.5428,13.7361,0.0262,129.3486,,221.0757,,,12.856,1.2025,,1.0089,1.0063,1.0125,,1873.4761,,,,,0.0,1.1756,Draupne
1904.6952,12.8499,0.0405,128.974,,221.0757,,,12.8034,1.2025,,1.0089,1.0063,1.0125,,1873.6285,,,,,0.0,1.1756,Draupne
1904.8476,13.0069,0.0559,129.7934,,221.0757,,,12.9259,1.2025,,1.0089,1.0063,1.0125,,1873.7809,,,,,0.0,1.1756,Draupne
1905.0,13.4669,0.0637,131.3492,,221.0757,,,13.0722,1.2025,,1.0089,1.0063,1.0125,,1873.9333,,,,,0.0,1.1756,Draupne
1905.1524,14.4877,0.0559,133.0975,,221.0757,,,12.97,1.2025,,1.0089,1.0063,1.0125,,1874.0857,,,,,0.0,1.1756,Draupne
1905.3048,15.0598,0.0559,134.3777,,221.0757,,,14.1652,1.2025,,1.0089,1.0063,1.0125,,1874.238,,,,,0.0,1.1756,Draupne
1905.4572,13.9717,0.0581,135.3452,,221.0757,,,15.3983,1.2025,,1.0089,1.0063,1.0125,,1874.3905,,,,,0.0,1.1756,Draupne
1905.6096,13.6576,0.0585,136.5869,,221.0757,,,14.6991,1.2025,,1.0089,1.0063,1.0125,,1874.5428,,,,,0.0,1.1756,Draupne
1905.762,14.4652,0.0411,137.3845,,221.0757,,,13.7732,1.2025,,1.0089,1.0063,1.0125,,1874.6953,,,,,0.0,1.1756,Draupne
1905.9144,12.3974,0.0187,136.1159,,221.0757,,,14.2151,1.2025,,1.0089,1.0063,1.0125,,1874.8477,,,,,0.0,1.1756,Draupne
1906.0668,12.4423,-0.0036,133.232,,221.0757,,,14.1508,1.6529,,1.7848,2.0792,1.6529,,1875.0001,,,,,0.0,1.1756,Draupne
1906.2192,12.39,-0.0083,130.9957,,239.9287,,0.571,12.7888,1.6458,2.2613,1.7393,2.1914,1.6458,1.6954,1875.1525,,,2.0458,0.25072,0.0,0.7806,Draupne
1906.3716,12.3526,-0.0109,130.7859,,240.026,,0.5574,12.1609,1.631,2.2588,1.7108,2.0279,1.631,1.7228,1875.3049,,,2.5142,0.25228,0.0,0.7502,Draupne
1906.524,12.8536,-0.0123,131.9925,,248.5941,,0.5025,12.1421,1.5943,2.2544,1.6596,2.0287,1.5943,1.708,1875.4573,,,5.0105,0.254993,0.0,0.635,Draupne
1906.6764,12.2479,-0.0126,132.3724,,238.5574,,0.5543,12.2182,1.5774,2.2378,1.6417,2.0442,1.5774,1.6941,1875.6097,,,4.3361,0.265137,0.0,0.7183,Draupne
1906.8288,12.39,-0.0109,132.7063,,254.6196,,0.5271,12.1547,1.6391,2.23,1.7064,2.3279,1.6391,1.6397,1875.7621,,,7.0083,0.269958,0.0,0.6543,Draupne
1906.9812,12.3376,-0.0098,133.0886,,254.224,,0.544,12.1252,1.6777,2.2213,1.7297,2.2644,1.6777,1.5221,1875.9144,,,7.2494,0.275301,0.0,0.6774,Draupne
1907.1336,12.3002,-0.0095,133.6244,,255.208,,0.5431,12.1785,1.7172,2.2177,1.762,2.3065,1.7172,1.5403,1876.0669,,,7.9758,0.277459,0.0,0.6713,Draupne
1907.286,12.1768,-0.0095,133.3867,,240.348,,0.5864,12.1538,1.71,2.2169,1.7588,2.2483,1.71,1.6084,1876.2192,,,5.152,0.278001,0.0,0.7568,Draupne
1907.4384,12.3339,-0.0083,133.2736,,234.8227,,0.6095,12.0073,1.7094,2.2137,1.7536,2.1678,1.7094,1.569,1876.3717,,,4.3556,0.279928,0.0,0.7991,Draupne
1907.5908,12.2666,-0.0046,133.9357,,233.0143,,0.6,12.122,1.7089,2.2143,1.7528,2.0947,1.7089,1.2152,1876.524,,,4.7537,0.279597,0.0,0.7808,Draupne
1907.7432,12.2217,-0.0019,134.3733,,233.7306,,0.5536,12.177,1.5713,2.2165,1.6189,1.9576,1.5713,1.0992,1876.6765,,,7.3534,0.278211,0.0,0.6908,Draupne
1907.8956,12.1731,-0.0012,133.704,,229.5986,,0.5268,12.2256,1.6477,2.2268,1.6981,2.0464,1.6477,1.1561,1876.8289,,,7.5959,0.271899,0.0,0.6498,Draupne
1908.048,12.3451,-0.002,132.4983,,224.3001,,0.5279,12.1436,1.6574,2.239,1.7058,2.045,1.6574,1.444,1876.9813,,,5.5775,0.264438,0.0,0.6669,Draupne
1908.2004,12.375,-0.0038,131.9609,,226.3169,,0.5495,12.231,1.629,2.2327,1.6848,2.0352,1.629,1.6281,1877.1337,,,5.1769,0.268311,0.0,0.7024,Draupne
1908.3528,12.3974,-0.0028,131.7312,,233.5721,,0.6489,12.3032,1.5984,2.227,1.6526,2.0435,1.5984,1.3231,1877.2861,,,2.0735,0.271771,0.0,0.8943,Draupne
1908.5052,12.3301,-0.0029,132.3836,,240.3086,,0.633,12.2613,1.5507,2.2152,1.6062,2.0004,1.5507,1.1411,1877.4385,,,3.2758,0.279024,0.0,0.848,Draupne
1908.6576,12.4947,-0.004,132.9597,,233.8011,,0.7218,12.2916,1.5624,2.2044,1.6338,2.0485,1.5624,1.107,1877.5909,,,1.6667,0.285672,0.0,1.0123,Draupne
1908.81,12.2853,-0.0055,133.5378,,231.5418,,0.6655,12.165,1.5843,2.1898,1.6569,2.0247,1.5843,1.3737,1877.7433,,,4.3185,0.294603,0.0,0.8818,Draupne
1908.9624,12.203,-0.0024,133.5492,,234.6523,,0.6389,12.1547,1.5557,2.1923,1.6247,2.0184,1.5557,1.447,1877.8956,,,5.3779,0.293038,0.0,0.8317,Draupne
1909.1148,12.203,0.0022,132.9527,,241.5616,,0.5563,12.1496,1.5653,2.221,1.6245,1.9704,1.5653,1.4458,1878.0481,,,6.4051,0.275463,0.0,0.7017,Draupne
1909.2672,12.1207,0.001,132.8591,,245.2627,,0.5854,12.1252,1.5852,2.248,1.6373,1.9442,1.5852,1.4268,1878.2004,,,2.4342,0.258913,0.0,0.793,Draupne
1909.4196,12.2479,-0.0063,132.1549,,249.1971,,0.7329,12.132,1.5433,2.2535,1.6066,1.9166,1.5433,1.6159,1878.3529,,,0.446,0.255528,0.0,1.0947,Draupne
1909.572,12.0983,-0.0105,131.7775,,249.4738,,0.734,12.1268,1.5451,2.2397,1.608,1.886,1.5451,1.5933,1878.5052,,,0.617,0.263968,0.0,1.0801,Draupne
1909.7244,12.188,-0.0085,131.1616,,247.7419,,0.7431,12.1356,1.5734,2.2235,1.6316,1.9346,1.5734,1.4357,1878.6577,,,0.834,0.273955,0.0,1.0783,Draupne
1909.8768,12.0871,-0.0045,131.4366,,244.7319,,0.6952,12.093,1.5553,2.2178,1.6152,1.8919,1.5553,1.4399,1878.8101,,,1.5908,0.27743,0.0,0.9755,Draupne
1910.0292,12.1768,-0.0038,133.0035,,240.4611,,0.6915,12.0864,1.5568,2.2242,1.6231,1.9061,1.5568,1.4429,1878.9625,,,1.4156,0.273517,0.0,0.976,Draupne
1910.1816,12.1544,-0.0068,135.114,,233.9122,,0.6319,12.0951,1.5651,2.2251,1.6332,1.891,1.5651,1.4072,1879.1149,,,2.5999,0.27293,0.0,0.8579,Draupne
1910.334,12.1544,-0.0084,135.4907,,224.1136,,0.6469,12.0381,1.5517,2.2287,1.6161,1.8649,1.5517,1.3734,1879.2673,,,2.0324,0.270737,0.0,0.8923,Draupne
1910.4864,12.0422,-0.0101,134.4439,,221.9496,,0.6358,12.0416,1.4792,2.2281,1.5388,1.7868,1.4792,1.3362,1879.4197,,,2.318,0.271086,0.0,0.8694,Draupne
1910.6388,12.1432,-0.009,132.9318,,221.9607,,0.5662,11.8702,1.5105,2.2465,1.5762,1.8063,1.5105,1.4461,1879.5721,,,3.0894,0.259792,0.0,0.7528,Draupne
1910.7912,12.3226,-0.0073,130.9915,,221.5266,,0.5868,12.0569,1.5382,2.2661,1.5949,1.8147,1.5382,1.4636,1879.7245,,,1.5389,0.247774,0.0,0.8181,Draupne
1910.9436,12.2179,-0.0044,130.829,,211.5411,,0.5829,12.0951,1.5496,2.2873,1.6043,1.8601,1.5496,1.4267,1879.8768,,,0.9568,0.234807,0.0,0.8362,Draupne
1911.096,12.2553,-0.0037,131.0315,,206.4014,,0.5958,12.0802,1.5145,2.2933,1.571,1.8766,1.5145,1.4083,1880.0293,,,0.7193,0.231076,0.0,0.8694,Draupne
1911.2484,12.1656,-0.003,131.5425,,197.8652,,0.5411,11.9771,1.4391,2.3029,1.4984,1.8025,1.4391,1.3595,1880.1816,,,1.0174,0.225235,0.0,0.7717,Draupne
1911.4008,12.2329,-0.0055,129.8018,,195.236,,0.5398,11.8791,1.4572,2.3051,1.5154,1.8391,1.4572,1.4025,1880.3341,,,0.9779,0.223893,0.0,0.7718,Draupne
1911.5532,12.2404,-0.0075,129.3426,,198.4049,,0.5325,12.1205,1.5003,2.3133,1.5473,1.8691,1.5003,1.5566,1880.4865,,,0.8637,0.218836,0.0,0.7673,Draupne
1911.7056,12.2479,-0.0099,129.9115,,210.5027,,0.5293,12.089,1.5094,2.3118,1.5571,1.8617,1.5094,1.5756,1880.6389,,,0.9266,0.219749,0.0,0.7591,Draupne
1911.858,12.2628,-0.0112,131.0529,,225.998,,0.5325,12.1207,1.5007,2.3043,1.5492,1.8991,1.5007,1.5987,1880.7913,,,1.0764,0.224362,0.0,0.7563,Draupne
